,product_url,number_of_bids,Name,color,number_of_views,Price,pic,Number sold,ship,SellerFeedback
11,http://www.ebay.com/itm/Apple-iPhone-6-16GB-Unlocked-GSM-iOS-Smartphone-Black-Silver-Gold-/252178804962?var=&hash=item3ab70730e2:m:mG_Rz_hyvRd-a6Of7omib2w,NA,Apple iPhone 6 16GB Unlocked GSM iOS Smartphone Black Silver Gold, Space Gray/Black Silver/White Gold/White,8 sold in last 24 hours,US $214.99,http://i.ebayimg.com/images/g/NaAAAOSwZ1lWgrvI/s-l300.jpg,"6,662 sold",FREE,97% ÊPositive feedback
12,http://www.ebay.com/itm/Apple-iPhone-6-a1549-16GB-Smartphone-Verizon-Unlocked-/381228351784?var=&hash=item58c2fb0128:m:m6JQ7wRY337KfSUSA2X55mQ,NA,Apple iPhone 6 a1549 16GB Smartphone Verizon Unlocked, Gold[out of stock] Silver Space Gray,34 viewed per hour,US $249.99,http://i.ebayimg.com/images/g/WXYAAOSw4CFY5R3Q/s-l300.jpg,"7,891 sold",FREE,98.4% ÊPositive feedback
13,http://www.ebay.com/itm/Apple-iPhone-6-64GB-Unlocked-GSM-iOS-Smartphone-Black-Silver-Gold-/252178803513?var=&hash=item3ab7072b39:m:mG_Rz_hyvRd-a6Of7omib2w,NA,Apple iPhone 6 64GB Unlocked GSM iOS Smartphone Black Silver Gold, Space Gray/Black Silver/White Gold/White,158 viewed per day,US $234.99,http://i.ebayimg.com/images/g/NaAAAOSwZ1lWgrvI/s-l300.jpg,"4,037 sold",FREE,97% ÊPositive feedback
14,http://www.ebay.com/itm/Apple-iPhone-6-16GB-64GB-128GB-GSM-Factory-Unlocked-Smartphone-Gold-Gray-Silver-/192184676741?var=&hash=item2cbf197185:m:m4lZjoT-_S0xblU8hX7BH8A,NA,"Apple iPhone 6 16GB 64GB 128GB GSM""Factory Unlocked"" Smartphone Gold Gray Silver", Space Gray Silver Gold,55 viewed per hour,US $214.99,http://i.ebayimg.com/images/g/4gAAAOSwNRdX61Up/s-l300.jpg,167 sold,FREE,98.8% ÊPositive feedback
15,http://www.ebay.com/itm/Apple-iPhone-6-16GB-Unlocked-GSM-iOS-Smartphone-Black-Silver-Gold-/272672838924?var=&hash=item3f7c91550c:m:mMa4wSWgLuma7R0Ie_swMNw,NA,Apple iPhone 6 16GB Unlocked GSM iOS Smartphone Black Silver Gold, Space Gray Silver[out of stock] Gold[out of stock],47 viewed per hour,US $218.95,http://i.ebayimg.com/images/g/tywAAOSwxu5ZGf1N/s-l300.jpg,84 sold,FREE,97.8% ÊPositive feedback
16,http://www.ebay.com/itm/Apple-iPhone-6-16GB-Factory-Unlocked-4G-LTE-8MP-Camera-iOS-Smartphone-/381957225454?var=&hash=item58ee6cbbee:m:mDRF3-0tQsDf59tk_LdXnFw,NA,"Apple iPhone 6 16GB ""Factory Unlocked"" 4G LTE 8MP Camera iOS Smartphone", Gold Silver Space Gray,1 sold in last hour,US $242.95,http://i.ebayimg.com/images/g/JSUAAOSwiylXBSpW/s-l300.jpg,531 sold,FREE,98.3% ÊPositive feedback
17,http://www.ebay.com/itm/Apple-iPhone-6-AT-T-SmartPhone-Gold-Silver-Space-Gray-16GB-64GB-128GB-/232243801723?var=&hash=item3612cf2e7b:m:mDz7f4Cv6gfO-VAPRWqu7wQ,NA,Apple iPhone 6 (AT&T) SmartPhone Gold Silver Space Gray 16GB 64GB 128GB, Gold Space Gray Silver,10 viewed per hour,US $249.99,http://i.ebayimg.com/images/g/xzUAAOSw~AVYp2t4/s-l300.jpg,224 sold,FREE,98.2% ÊPositive feedback
18,http://www.ebay.com/itm/Apple-iPhone-6-128GB-Factory-Unlocked-4G-LTE-iOS-8MP-Camera-Smartphone-/382037941107?var=&hash=item58f33c5b73:m:m9Qaj_5I-lRPilziVcCZH5g,NA,"Apple iPhone 6 128GB ""Factory Unlocked"" 4G LTE iOS 8MP Camera Smartphone", Gold[out of stock] Silver Space Gray,185 viewed per day,US $284.95,http://i.ebayimg.com/images/g/SDwAAOSwFqJWr6NN/s-l300.jpg,88 sold,FREE,98.3% ÊPositive feedback
19,http://www.ebay.com/itm/NEW-Apple-iPhone-6-16GB-64GB-Gold-Silver-Space-Gray-GSM-Factory-Unlocked-Phone-/182569856644?var=&hash=item2a8202ee84:m:m1ZA8pthr0ruwQbVf9nnYIA,NA,NEW Apple iPhone 6 16GB 64GB Gold Silver Space Gray GSM Factory Unlocked Phone, iPhone 6-Gold iPhone 6-Silver iPhone 6-Gray iPhone 4S Black iPhone 4S White,18 viewed per hour,NA,http://i.ebayimg.com/images/g/4D0AAOSwlndZFErJ/s-l300.jpg,Experienced seller,$15.00 ,99% ÊPositive feedback
20,http://www.ebay.com/itm/NEW-Apple-iPhone-6-64GB-GSM-Factoy-Unlocked-Gold-Silver-Space-Gray-Smartphone-/282450226994?var=&hash=item41c3586f32:m:mV6q2niezIJHBcyrFg_PU4g,NA,NEW Apple iPhone 6- 64GB GSM Factoy Unlocked -Gold-Silver- Space Gray-Smartphon, iPhone 6,8 viewed per hour,US $389.00,http://i.ebayimg.com/images/g/vlUAAOSwaeRZEL7u/s-l300.jpg,45 sold,FREE,99.3% ÊPositive feedback
21,https://pulsar.ebay.com/plsr/clk/0/SADS/9?pld=%7B%22mecs%22%3A%222525889398117fbe09c063d942cab6fa509a8df6c11e%22%2C%22enc%22%3A%22AQABAAACoLmQa24OtTHRaocrSZUBEXcjY1tz5KTfFjI5bxcRxblrhXB392ypTIcxBE8Ke8kt7m49Rx2kN3roQQ0xMUM8GaG%2FovObN8ujBdBi8PMJY30ssFHAMkApJwwiC2VNasLxcU91pzYSiUV7al%2B11eSctXG11Lw%2BXYt%2Boii%2B9R%2FaDhp2DE5Gh6AxNfIlAFonW91eJIk2s7ow8qNOekGCMe532FCzl8Ye2zXaZ8uKDas0OZTkSzWy%2F2lx3ZYp0%2BhfRu%2F%2FPBqH4jtgQsf6NBgCEMSJDpLXhqNQKOpSuLPih%2Fsa3dCLI3Wr4pfUjNI3K%2B%2BKaOs9QBB%2B6KJU8if9wFzXNUByfJpGLyoonEp%2B%2B6Zh%2BFmIRzRokeF2hLXc%2BlkH5YOPKV3Bv2W%2FC%2BM6n%2Bd%2BF5FooyJGOk1MOT8MUABWTODIho%2FWEWREJRE%2F138DLvS%2Ffz7kAmEFVMqueyhF%2BVYOp28UqBew73iKO0K1kokPN%2FT%2BM87DHpf9buGtt9J0%2F4%2B5vtizggud9y45GRLKgkCkf%2BBIJ8A9BchahjoooZQ6yzd0cwHqkS0gwjwe2bwzke3Ft1PWyv17sz3JtthnVJtjB9FRBWqeQndjF%2FvTGiSQOM6xFKJu%2B1gNtH8gYeNy7lNEJBkCihxrfoXJdbiSTcofJfHH%2B8sU9AOEGqvf2yFUgoVe%2B9RlFMIcwqIb8fEz6%2FxkwUtYkbVGK%2BeiyoatcAv%2BhluF1nVkhLVTy0Mce2C%2BHJcWDqdDnzwUJj1d707LnXkqWfvYQWEFkDWqgfTQiTHy7Uzx8ReQHFu1KdxZj%2FVrLu0zc%2BITs2jOifb9GyZaMg5NTEGiAkY7Uuogu30k2wM3Px4DTdA72KPgd9ZeLj7v8c4JKIcCRnTEvPBWBPay6iEVXf%2FLZaDq9Q%3D%3D%22%7D,NA,NA, NA,NA,NA,NA,NA,NA,NA
22,https://pulsar.ebay.com/plsr/clk/0/SADS/9?pld=%7B%22mecs%22%3A%22262999516238d7cebddf8285442ebe987b1b4718a1c3%22%2C%22enc%22%3A%22AQABAAACkLmQa24OtTHRaocrSZUBEXdbJcXpFE1Lu3SM7wXJtyxhZyzP6LNKagaGKAAbBLUpDXDhbNpLm3Azaq8ZCVz1nidAeR0mTo9caKMBYTGflKLiU1m3o1kLE8JGZ5DsVAowzIb%2BbCZApjRWYz3CILYlopbEKhDVnWSjZKVusHtunvhNya1DQBnWh1HbfmcrRurowpD0Uf0fSMkLmCxMCIsdca1mnwdy%2FQKeE8qREueSS65k6bLaqEOBila%2Bs9jJbxkW8Xyt1pF1Pp%2BVLkQ0TyqXk%2BMvhYCfO%2BlhvlFXp5lpxUKdCpcnPt4xxmtFZZaQdXwKx21Ll7YbiblcGnSyjElitNaB7v85LRPShTIHukr3TmfqjpkEORev7QvEPtd1Cu0WqDnykzG%2F7MESLMTJsooskou%2BNrIawwtu3mGmYWsHDOihLE6lMMFW5gI2wvYKQmEvAN40aCw8VsYOlYEPUEBG7MifDwQwovg%2FufmDx0skWy5eaJ5adaZMe6viZJmBk7xY%2Fr%2Ft6r3DsWde7BfFVrCuMcfwAUC5F7MPZtC8t0JZSN6n0QRItgG3d7q2q7ANt7qQH0n41yUkwFFl8JmerGxaWlsIfu%2FXdwZnIX%2FfXyZJ020AiEpMGrkoB2CCOvlx3rnext9E0EQRQlc8SzDBqw%2FV4GCKq0Gm2oi5nC2fsUna7O5kvQCX%2BmLo%2F27PrbJR5tPb%2FaLGhkNuunYE4U%2BOH9upXVKXH5iRveIEOjoYVbBRj4XJ9wJAeGKfmc3hcIQyM3XnA4TdRBCJyoDTnNwbs5%2FYr4MvPs39zzIGLS%2BjuyO1QHBSaE1hzpMPnVIsJgFcfM0axLtsCIbPbbGcyL17VuylZeRvgGNbqPG4Zq5e8VLLlvYg%22%7D,NA,NA, NA,NA,NA,NA,NA,NA,NA
23,http://www.ebay.com/itm/Apple-iPhone-6-16GB-Space-Gray-AT-T-Smartphone-/222519513786?hash=item33cf3252ba:g:wd0AAOSwlY1ZIfqH,29,Apple iPhone 6 - 16GB - Space Gray (AT&T) Smartphone, NA,NA,NA,http://i.ebayimg.com/images/g/wd0AAOSwlY1ZIfqH/s-l300.jpg,Located in United States,$14.99 ,100% ÊPositive feedback
24,http://www.ebay.com/itm/UNLOCKED-IPHONE-6-ROSE-GOLD-16G-Verizon-/122515818250?hash=item1c8683070a:g:srAAAOSw5UZY~S39,0,UNLOCKED IPHONE 6 ROSE GOLD 16G Verizon, NA,NA,NA,http://i.ebayimg.com/images/g/srAAAOSw5UZY~S39/s-l300.jpg,Limited time remaining,$9.99 ,100% ÊPositive feedback
25,http://www.ebay.com/itm/Apple-iPhone-6-64GB-Factory-GSM-Unlocked-Space-Gray-Silver-Gold-AT-T-T-Mobile-/131741651396?var=&hash=item1eac6a11c4:m:mav9jBuvb4ahkI4kquxXmMQ,NA,Apple iPhone 6 64GB Factory GSM Unlocked - Space Gray Silver Gold AT&T T-Mobile, Space Gray Silver Gold[out of stock],13 viewed per hour,US $259.97,http://i.ebayimg.com/images/g/yx0AAOSw5cNYG~nm/s-l300.jpg,"1,125 sold",FREE,98.7% ÊPositive feedback
26,http://www.ebay.com/itm/Apple-iPhone-6-128GB-Verizon-Wireless-4G-LTE-8MP-Camera-Smartphone-/401306230275?var=&hash=item5d6fb71e03:m:mLQOSdNz6d-DwcG0_3M8EAg,NA,Apple iPhone 6 128GB Verizon Wireless 4G LTE 8MP Camera Smartphone, Gold Silver Space Gray,NA,US $284.95,http://i.ebayimg.com/images/g/lMgAAOSwYHxWQLv9/s-l300.jpg,60-day returns,FREE,98.3% ÊPositive feedback
27,http://www.ebay.com/itm/Apple-iPhone-6-16-64-128GB-GSM-Unlocked-4G-LTE-iOS-Smartphone-Gold-Gray-Silver-/142306188414?var=&hash=item21221c1c7e:m:mXoSuCXHnby_o9jb7j5UklQ,NA,Apple iPhone 6 16/64/128GB GSM Unlocked 4G LTE iOS Smartphone Gold Gray Silver, 128GB 64GB 16GB,323 viewed per day,US $217.99,http://i.ebayimg.com/images/g/dGEAAOSwfVpYoK-K/s-l300.jpg,898 sold,FREE,98.8% ÊPositive feedback
28,http://www.ebay.com/itm/Apple-iPhone-6-6-Plus-Factory-Unlocked-Smartphone-Space-Gray-Silver-Gold-NEW-/162528309357?var=&hash=item25d771306d:m:mWqZo_Ge9GsfmMOgYBop4yg,NA,Apple iPhone 6 /6 Plus Factory Unlocked Smartphone Space Gray Silver Gold NEW, iPhone 6 Plus iPhone 6 iPhone 4s,73 viewed per day,US $124.99,http://i.ebayimg.com/images/g/MRwAAOSw42JZJlQH/s-l300.jpg,Experienced seller,FREE,98.8% ÊPositive feedback
29,http://www.ebay.com/itm/Apple-iPhone-6-128GB-Verizon-GSM-Unlocked-4G-LTE-Space-Gray-Silver-Gold-/112086944698?var=&hash=item1a18e70bba:m:mav9jBuvb4ahkI4kquxXmMQ,NA,Apple iPhone 6 128GB Verizon + GSM Unlocked 4G LTE - Space Gray Silver Gold, Space Grey[out of stock] Silver[out of stock] Gold,2 viewed per hour,US $269.97,http://i.ebayimg.com/images/g/mSwAAOSwMVdYG~LW/s-l300.jpg,416 sold,FREE,98.7% ÊPositive feedback
30,http://www.ebay.com/itm/Apple-iPhone-6-16GB-Verizon-Space-Gray-10-3-1-/361990282124?hash=item54484d5b8c:g:e80AAOSwfRdZJ0Bq,15,Apple iPhone 6 - 16GB Verizon Space Gray 10.3.1 , NA,NA,NA,http://i.ebayimg.com/images/g/e80AAOSwfRdZJ0Bq/s-l300.png,Longtime member,$7.99 ,98.8% ÊPositive feedback
31,http://www.ebay.com/itm/Apple-iPhone-6-64GB-AT-T-Space-Gray-10-3-1-/382100740422?hash=item58f6fa9946:g:buEAAOSwYlRZJ0BQ,12,Apple iPhone 6 - 64GB AT&T Space Gray 10.3.1 , NA,NA,NA,http://i.ebayimg.com/images/g/buEAAOSwYlRZJ0BQ/s-l300.png,Longtime member,$7.99 ,98.8% ÊPositive feedback
32,http://www.ebay.com/itm/Apple-iPhone-6-64GB-Verizon-Wireless-4G-LTE-8MP-Camera-iOS-Smartphone-/401149524441?var=&hash=item5d665ff9d9:m:m9Qaj_5I-lRPilziVcCZH5g,NA,Apple iPhone 6 64GB Verizon Wireless 4G LTE 8MP Camera iOS Smartphone, Gold Silver[out of stock] Space Gray,1 sold in last hour,US $242.95,http://i.ebayimg.com/images/g/hJEAAOSwgQ9VzM5U/s-l300.jpg,646 sold,FREE,98.3% ÊPositive feedback
33,http://www.ebay.com/itm/Apple-iPhone-6-16-64-128GB-Gold-Silver-Gray-AT-T-Sim-Free-Factory-Unlocked-Phone-/182589613969?var=&hash=item2a83306791:m:mfknmSPd6xzqFlTu3Ah2Nng,NA,Apple iPhone 6 16-64-128GB Gold Silver Gray AT&T Sim Free Factory Unlocked Phone, IPhone 6 - SpaceGray IPhone 6 - Sliver IPhone 6 - Gold IPhone 4s - Black IPhone 4s - White,16 viewed per hour,NA,http://i.ebayimg.com/images/g/boUAAOSwZ4dZJVTB/s-l300.jpg,5 inquiries,FREE,98.2% ÊPositive feedback
34,http://www.ebay.com/itm/Apple-iPhone-6-AT-T-T-mobile-SmartPhone-Gold-Silver-Space-Gray-16GB-64GB-/322483765485?var=&hash=item4b1587c0ed:m:mjeoWHFti_eikP8AaQWlWYA,NA,Apple iPhone 6 (AT&T/T-mobile, Gold Space Gray[out of stock] Silver,42 viewed per hour,US $234.99,http://i.ebayimg.com/images/g/ZNsAAOSwpkFY8TPV/s-l300.jpg,242 sold,FREE,98.2% ÊPositive feedback
35,http://www.ebay.com/itm/Apple-iPhone-6-4-7-16GB-GSM-UNLOCKED-Smartphone-SRF-/331991401228?var=&hash=item4d4c3ac30c:m:mFgTXZQKUnPN7WArA7yG8cw,NA,"Apple iPhone 6 4.7"" 16GB GSM UNLOCKED Smartphone SRF", Gold Silver Space Gray,300 viewed per day,US $214.99,http://i.ebayimg.com/images/g/JcYAAOSwOyJX9W3L/s-l300.jpg,"9,904 sold",FREE,98.4% ÊPositive feedback
36,http://www.ebay.com/itm/Apple-iPhone-6-16GB-64GB-128GB-Verizon-GSM-Unlocked-LTE-4-7-Smartphone-/281988649806?var=&hash=item41a7d5534e:m:mR9fzHz4um82sJVVp8-Hi1w,NA,"Apple iPhone 6 16GB 64GB 128GB Verizon + GSM Unlocked LTE 4.7"" Smartphone ", Space Gray Gold Silver,205 viewed per day,US $219.90,http://i.ebayimg.com/images/g/32oAAOSw8gVX~jiE/s-l300.jpg,443 sold,FREE,99.5% ÊPositive feedback
37,http://www.ebay.com/itm/Apple-iPhone-6-128GB-GSM-Factory-UNLOCKED-Gold-Grey-Silver-Smartphone-CellPhone-/401264511701?var=&hash=item5d6d3a8ad5:m:mL_r_mL2WyX0orhuJSvjxAA,NA,Apple iPhone 6-128GB GSM Factory UNLOCKED Gold Grey Silver Smartphone CellPhone*, Space Grey Silver Gold,NA,US $299.95,http://i.ebayimg.com/images/g/Gt8AAOSwaB5Xo76l/s-l300.jpg,25 sold,FREE,98.8% ÊPositive feedback
38,http://www.ebay.com/itm/Apple-iPhone-6-16GB-Space-Gray-Sprint-Smartphone-/152556725363?hash=item238516e473:g:NHwAAOSwfpVZIf2j,13,Apple iPhone 6 - 16GB - Space Gray (Sprint) Smartphone, NA,NA,NA,http://i.ebayimg.com/images/g/NHwAAOSwfpVZIf2j/s-l300.jpg,Longtime member,NA,100% ÊPositive feedback
39,http://www.ebay.com/itm/Apple-iPhone-6-16GB-Space-Gray-Verizon-Factory-Unlocked-Clean-ESN-/152559785832?hash=item2385459768:g:3v0AAOSwYIxX5TMl,NA,Apple iPhone 6 - 16GB Space Gray (Verizon) (Factory Unlocked) Clean ESN , NA,4 viewed per hour,US $214.99,http://i.ebayimg.com/images/g/3v0AAOSwYIxX5TMl/s-l300.jpg,Experienced seller,$9.99 ,99.5% ÊPositive feedback
40,http://www.ebay.com/itm/Apple-iPhone-6-128GB-Gold-Verizon-Smartphone-/172687736933?hash=item2834fdc065:g:bNgAAOSwuMZZIfpG,5,Apple iPhone 6 - 128GB - Gold (Verizon) Smartphone , NA,NA,NA,http://i.ebayimg.com/images/g/bNgAAOSwuMZZIfpG/s-l300.jpg,Located in United States,NA,NA
41,http://www.ebay.com/itm/Apple-iPhone-6-16-64-128-GSM-UNLOCKED-LTE-SMARTPHONE-AT-T-CRICKET-METRO-TMOBILE-/152340110431?var=&hash=item23782d9c5f:m:mWr60jdHBJ1S1Ns8UBLHbUQ,NA,Apple iPhone 6 16 64 128 GSM UNLOCKED LTE SMARTPHONE AT&T CRICKET METRO TMOBILE , 16GB 64GB[out of stock] 128GB[out of stock],3 viewed per hour,US $224.99,http://i.ebayimg.com/images/g/-OwAAOSwX61ZDbbd/s-l300.jpg,208 sold,FREE,99.2% ÊPositive feedback
42,http://www.ebay.com/itm/Apple-iPhone-6-128GB-Unlocked-GSM-iOS-Smartphone-Black-Silver-Gold-/252178802242?var=&hash=item3ab7072642:m:mG_Rz_hyvRd-a6Of7omib2w,NA,Apple iPhone 6 128GB Unlocked GSM iOS Smartphone Black Silver Gold, Space Gray/Black Silver/White Gold/White[out of stock],1 sold in last hour,US $259.99,http://i.ebayimg.com/images/g/NaAAAOSwZ1lWgrvI/s-l300.jpg,302 sold,FREE,97% ÊPositive feedback
43,http://www.ebay.com/itm/Apple-iPhone-6-16GB-GSM-Unlocked-Smartphone-Gold-Gray-Silver-/311452584240?var=&hash=item4884054930:m:m6frKH7710xBtHZ0TAc3i4A,NA,Apple iPhone 6 - 16GB (GSM Unlocked) Smartphone Gold Gray Silver, Silver Space Gray Gold[out of stock],NA,US $239.88,http://i.ebayimg.com/images/g/ZzIAAOSwEeFVU6Cd/s-l300.jpg,"5,470 sold",FREE,98.8% ÊPositive feedback
44,http://www.ebay.com/itm/Apple-iPhone-6PLUS-6-5s-Factory-Unlocked-Gold-Silver-Space-Gray-Smartphone-A-/282474298098?var=&hash=item41c4c7baf2:m:m6ZKoSIASLH74mMEIpcKJWw,NA,Apple iPhone 6PLUS/6/5s (Factory Unlocked) Gold Silver Space Gray Smartphone A++, 16GB 32GB 64GB 128GB 8GB,17 viewed per hour,US $95.99,http://i.ebayimg.com/images/g/EMQAAOSw1WJZFXj0/s-l300.jpg,25 sold,$14.99 ,97.3% ÊPositive feedback
